X	rep	beta0	beta	q	sim_hash	sim_id	seed
X_bin_med	1	-3	0.5	5	8f79ee581542113ee36a5afcb85f7b8a	8f79e	587678
X_bin_med	1	-3	1	1	d90b4ae431017545d33190411ba20957	d90b4	889012
X_bin_med	1	-3	1	3	901d023d59febe9aa625e82315c3d452	901d0	590288
X_bin_med	1	-3	1	5	eb8c1ca1c2ab09ee156d17e06639481b	eb8c1	964801
X_bin_med	1	-3	2	1	a46b2ef34f63628412d35becbef06531	a46b2	673458
X_bin_med	1	-3	2	3	851ede9e937ac419bf2c5f068e92eb36	851ed	545261
X_bin_med	1	-3	2	5	ec602e906f8966bd468ea270eef9bce3	ec602	968194
X_bin_med	1	-3	4	1	8486ae3fae3663a4c68fa7f1bb422dc7	8486a	542826
X_bin_med	1	-3	4	3	f7692c84a8cb4b6955ade4241c800dc2	f7692	1013394
X_bin_med	1	-3	4	5	a3f24d77041fd69533e99e6afa8edb60	a3f24	671524
X_bin_med	1	-2	0.5	1	5b40aa533e433982b08a6ebd5ccff818	5b40a	373770
X_bin_med	1	-2	0.5	3	25785a40404e24a5538aa04d57871aa0	25785	153477
X_bin_med	1	-2	0.5	5	a953626e24a41012951ee7b42da08873	a9536	693558
X_bin_med	1	-2	1	1	114623f8955d689718cf285bd989eb60	11462	70754
X_bin_med	1	-2	1	3	e74586cd991fdefdf1b99b1de896dd2f	e7458	947288
X_bin_med	1	-2	1	5	4ccace8c290a8329a366fe5ce3182d42	4ccac	314540
X_bin_med	1	-2	2	1	cb419710b2f665197335d16476f39dd7	cb419	832537
X_bin_med	1	-2	2	3	96f012bbb0ed2005223eac06d1aa7e3c	96f01	618241
X_bin_med	1	-2	2	5	8e3fa8d05c4b0c1f2390242777dd97aa	8e3fa	582650
X_bin_med	1	-2	4	1	046f6c5f81267c9a237f0c6338775b83	046f6	18166
X_bin_med	1	-2	4	3	5816a05ca40353895c78e4aa21b3ffa7	5816a	360810
X_bin_med	1	-2	4	5	790766a51d0c4275b93bf1b35107450c	79076	495734
X_bin_med	2	-5	0.5	1	101b3ea2c846dcc55c73514cbd29c0cd	101b3	65971
X_bin_med	2	-5	0.5	3	529c31d3ba2cd6180f8cc2d50fda0aec	529c3	338371
X_bin_med	2	-5	0.5	5	4cd2764aac6e8262b40a6bcb6d1dae90	4cd27	314663
X_bin_med	2	-5	1	1	f8c7b05242943091ecbf5450ace42faf	f8c7b	1019003
X_bin_med	2	-5	1	3	d0b89b3f8bb984cb5eec07e27734ef92	d0b89	854921
X_bin_med	2	-5	1	5	f4b9e733329146d746b2d2b88dad4268	f4b9e	1002398
X_bin_med	2	-5	2	1	40844ed1449b04248a8d4b52ac03fe96	40844	264260
X_bin_med	2	-5	2	3	b5df556697b596d2c60b748035a70e31	b5df5	744949
X_bin_med	2	-5	2	5	69f837bca59ae680267c6f3cda49bcde	69f83	434051
X_bin_med	2	-5	4	1	afe31a4982ad7d66f6d3bf5e0ca52f9f	afe31	720433
X_bin_med	2	-5	4	3	9b201ba96d7efeacf4d230c855401d34	9b201	635393
X_bin_med	2	-5	4	5	7730ae7a5a5f8a6f560ad9b4bb2581a4	7730a	488202
X_bin_med	2	-4	0.5	1	373df435649f6caee679305e156213a8	373df	226271
X_bin_med	2	-4	0.5	3	e55ce2fb8fbc7a09c6188bd4f17f878e	e55ce	939470
X_bin_med	2	-4	0.5	5	fd71e29993bf10959136fa601bb2b6f8	fd71e	1038110
X_bin_med	2	-4	1	1	a1258be00c7e3b39f7bc60e22cda2383	a1258	660056
X_bin_med	2	-4	1	3	aba1c95db5045f34880cbcc4750d5409	aba1c	703004
X_bin_med	2	-4	1	5	4e01385f404d20ea1b78a6591f9f1146	4e013	319507
X_bin_med	2	-4	2	1	a8129c86d7a2e7e5124ca624a0ea947d	a8129	688425
X_bin_med	2	-4	2	3	f403751c58769b5d21a0096576fc6a47	f4037	999479
X_bin_med	2	-4	2	5	2a3f331d33260c78cef8ff4db152d819	2a3f3	173043
X_bin_med	2	-4	4	1	5c6db211f9094829bc7fd1b9c022fb15	5c6db	378587
X_bin_med	2	-4	4	3	333c20c86d4e1a9ee1a3bd0cd596ddff	333c2	209858
X_bin_med	2	-4	4	5	e43d29ba0597591383425dba4d9dfc57	e43d2	934866
X_bin_med	2	-3	0.5	1	1c00a7a7fd43777e6000cce1b708878f	1c00a	114698
X_bin_med	2	-3	0.5	3	01286dfb12bbcc5cf0951bc714f1babd	01286	4742
X_bin_med	2	-3	0.5	5	9426134c8d2142d786b91a42620c2b8a	94261	606817
X_bin_med	2	-3	1	1	9f8b1e2c3cf6348992144a6dfbdc5e42	9f8b1	653489
X_bin_med	2	-3	1	3	6e531ca582290ea3f365751063101594	6e531	451889
X_bin_med	2	-3	1	5	a6f136bf599ec609c53f2cbefbf5ed51	a6f13	683795
X_bin_med	2	-3	2	1	ef23cf140caa29094ecfc1be7d45b897	ef23c	979516
X_bin_med	2	-3	2	3	73edf524e2d6cafe474d88336f980fe1	73edf	474847
X_bin_med	2	-3	2	5	13c726c3466a44d2ddd8e807f6e55875	13c72	81010
X_bin_med	2	-3	4	1	72cebc70cd1dd7d21f9e058bad148145	72ceb	470251
X_bin_med	2	-3	4	3	aa0ae9e1968edc5ef50b95ab351c34d3	aa0ae	696494
X_bin_med	2	-3	4	5	1b3c4a12f500b1c1d4558af15c0baf15	1b3c4	111556
X_bin_med	2	-2	0.5	1	3f1fbbc37aafaf28623a6171fc7b5166	3f1fb	258555
X_bin_med	2	-2	0.5	3	444d207c9a377cc61981bc20a48c39cb	444d2	279762
X_bin_med	2	-2	0.5	5	f7bb9ef7e132b6cc5a2f5002c4760b40	f7bb9	1014713
X_bin_med	2	-2	1	1	f75edf27f1f91c44fcc55f15a2efb4cf	f75ed	1013229
X_bin_med	2	-2	1	3	9dc5ee5c29f84583845657079421d4cc	9dc5e	646238
X_bin_med	2	-2	1	5	7a4df4367e67f6aaa4bf95d289bd5887	7a4df	500959
X_bin_med	2	-2	2	1	6d259e61e88686d59252030995868d12	6d259	447065
X_bin_med	2	-2	2	3	2e4ba33b5c1240fdc377f41ab7ad411e	2e4ba	189626
X_bin_med	2	-2	2	5	ab5970f3870fe832d484fd40932f8950	ab597	701847
X_bin_med	2	-2	4	1	ac99285925ef9e85e5a0d48216d1e5b8	ac992	706962
X_bin_med	2	-2	4	3	2d4e9bad4d409528976e6a49229998e8	2d4e9	185577
X_bin_med	2	-2	4	5	14bf0fb7a23053d6870d03cf25f02458	14bf0	84976
X_bin_med	3	-5	0.5	1	4430a2996bd0c6802410f296bc341189	4430a	279306
X_bin_med	3	-5	0.5	3	6154a125da29de8d50fe7ab94feee05a	6154a	398666
X_bin_med	3	-5	0.5	5	28454cafb73f9a72a604fa919be5c750	28454	164948
X_bin_med	3	-5	1	1	71142554b8248a05f850670cce4143ff	71142	463170
X_bin_med	3	-5	1	3	5dfa004270bb66eb682eb21c63fb06c0	5dfa0	384928
X_bin_med	3	-5	1	5	98b058c3dec54631082cb97d4d432fce	98b05	625413
X_bin_med	3	-5	2	1	6e20f57e3cbc614b098f5b4de05f0c34	6e20f	451087
X_bin_med	3	-5	2	3	1b611632ed4dc15e77dfacab4bc67cfe	1b611	112145
X_bin_med	3	-5	2	5	795760c4b9cdf16a440c5c33f1660775	79576	497014
X_bin_med	3	-5	4	1	83f34c28911b1f977ea6846ef968ed74	83f34	540468
X_bin_med	3	-5	4	3	f8266883d085b1aa5bc3e3c9ec419798	f8266	1016422
X_bin_med	3	-5	4	5	ad40243def522cbcecba3b85ebae7b9a	ad402	709634
X_bin_med	3	-4	0.5	1	ab5fb9d075ccc37b5a8ac7b105a34ff9	ab5fb	701947
X_bin_med	3	-4	0.5	3	12cd3ea89a5638458e1c4a3071ad4d99	12cd3	77011
X_bin_med	3	-4	0.5	5	99d2693d9d78406f8d274687fd3a26ac	99d26	630054
X_bin_med	3	-4	1	1	2ed3774a37ef88270ec11414ef6fc5e8	2ed37	191799
